1	N	46
1	J	46
0	J	46
1	R	46
2	N	46
2	J	47
1	W	47
2	R	47
3	N	65
3	J	66
2	J	67
3	R	67
3	W	73
2	R	73
2	E	77
1	J	77
1	R	77
4	N	77
4	J	77
1	W	78
4	R	78
5	N	114
5	J	115
4	W	115
5	R	115
4	J	117
5	E	118
4	R	118
4	W	124
0	R	124
3	J	3071
3	R	3071
3	W	3074
0	R	3074
4	J	4453
4	R	4454
4	W	4454
0	R	4454
4	J	4599
4	R	4599
4	W	4599
0	R	4599
4	J	4884
4	R	4884
4	W	4884
0	R	4884
4	J	4915
4	R	4915
4	W	4915
0	R	4915
4	J	5996
4	R	5996
4	W	5996
0	R	5996
3	J	6072
3	R	6072
3	W	6074
0	R	6074
4	J	6201
4	R	6201
4	W	6201
0	R	6201
4	J	6336
4	R	6336
4	W	6336
0	R	6336
4	J	6408
4	R	6408
4	W	6408
0	R	6408
4	J	6481
4	R	6481
4	W	6481
0	R	6481
4	J	6561
4	R	6561
4	W	6561
0	R	6561
4	J	6752
4	R	6752
4	W	6752
0	R	6752
4	J	6941
4	R	6941
4	W	6941
0	R	6941
4	J	7182
4	R	7182
4	W	7182
0	R	7182
4	J	7333
4	R	7333
4	W	7333
0	R	7333
4	J	7635
4	R	7635
4	W	7635
0	R	7635
4	J	7765
4	R	7765
4	W	7765
0	R	7765
4	J	7855
4	R	7855
4	W	7855
0	R	7855
4	J	8003
4	R	8003
4	W	8003
0	R	8003
4	J	8369
4	R	8369
6	N	8370
6	J	8371
4	W	8372
6	R	8372
7	N	8374
7	J	8375
8	N	8375
8	J	8376
9	N	8376
9	J	8377
10	N	8377
10	J	8378
11	N	8378
11	J	8379
12	N	8379
12	J	8380
13	N	8380
13	J	8381
14	N	8381
14	J	8382
6	J	8382
14	R	8382
14	J	8392
13	R	8392
13	J	8402
12	R	8402
12	J	8412
11	R	8412
11	J	8422
10	R	8422
10	J	8432
9	R	8432
9	J	8442
8	R	8442
8	J	8452
7	R	8452
7	W	8452
14	R	8452
14	J	8462
13	R	8462
13	J	8472
12	R	8472
12	J	8482
11	R	8482
11	J	8492
10	R	8492
10	J	8502
9	R	8502
9	J	8512
8	R	8512
8	J	8522
6	R	8522
15	N	8522
15	J	8523
16	N	8523
16	J	8524
6	W	8524
16	R	8524
16	J	8534
15	R	8534
15	J	8544
16	R	8544
7	J	8554
16	J	8554
7	R	8554
7	W	8554
15	R	8554
15	J	8564
14	R	8564
14	J	8574
13	R	8574
13	J	8584
12	R	8584
12	J	8594
11	R	8594
11	J	8604
10	R	8604
10	J	8614
9	R	8614
9	J	8624
8	R	8624
8	J	8634
16	R	8634
16	J	8644
15	R	8644
15	J	8654
14	R	8654
7	J	8664
14	J	8664
7	R	8664
7	W	8664
13	R	8664
13	J	8674
12	R	8674
12	J	8684
11	R	8684
11	J	8694
10	R	8694
10	J	8704
9	R	8704
9	J	8714
8	R	8714
8	J	8724
16	R	8724
16	J	8734
15	R	8734
15	J	8744
14	R	8744
14	J	8754
13	R	8754
13	J	8764
12	R	8764
7	J	8774
12	J	8774
7	R	8774
7	W	8774
11	R	8774
11	J	8784
10	R	8784
10	J	8794
9	R	8794
9	J	8804
8	R	8804
8	J	8814
16	R	8814
16	J	8824
15	R	8824
15	J	8834
14	R	8834
14	J	8844
13	R	8844
13	J	8854
12	R	8854
12	J	8864
11	R	8864
11	J	8874
10	R	8874
7	J	8884
10	J	8884
7	R	8884
7	W	8884
9	R	8884
9	J	8894
8	R	8894
8	J	8904
16	R	8904
16	J	8914
15	R	8914
15	J	8924
14	R	8924
14	J	8934
13	R	8934
13	J	8944
12	R	8944
12	J	8954
11	R	8954
11	J	8964
10	R	8964
10	J	8974
9	R	8974
9	J	8984
8	R	8984
7	J	8994
8	J	8994
7	R	8994
7	W	8994
16	R	8994
16	J	9004
15	R	9004
15	J	9014
14	R	9014
14	J	9024
13	R	9024
13	J	9034
12	R	9034
12	J	9044
11	R	9044
11	J	9054
10	R	9054
10	J	9064
9	R	9064
3	J	9074
9	J	9074
3	R	9074
3	W	9076
8	R	9076
8	J	9087
16	R	9087
7	J	9097
16	J	9097
7	R	9097
7	W	9097
15	R	9097
15	J	9107
14	R	9107
14	J	9117
13	R	9117
13	J	9127
12	R	9127
12	J	9137
11	R	9137
11	J	9147
10	R	9147
10	J	9157
9	R	9157
9	J	9167
8	R	9167
8	J	9177
16	R	9177
16	J	9187
15	R	9187
15	J	9197
14	R	9197
7	J	9207
14	J	9207
7	R	9207
7	W	9207
13	R	9207
13	J	9217
12	R	9217
12	J	9227
11	R	9227
11	J	9237
10	R	9237
10	J	9247
9	R	9247
9	J	9257
8	R	9257
8	J	9267
16	R	9267
16	J	9277
15	R	9277
15	J	9287
14	R	9287
14	J	9297
13	R	9297
13	J	9307
12	R	9307
7	J	9317
12	J	9317
7	R	9317
7	W	9317
11	R	9317
11	J	9327
10	R	9327
10	J	9337
9	R	9337
9	J	9347
8	R	9347
8	W	9347
16	R	9347
16	J	9357
15	R	9357
15	J	9367
14	R	9367
14	J	9377
13	R	9377
13	J	9387
12	R	9387
12	J	9397
11	R	9397
11	J	9407
10	R	9407
10	J	9417
9	R	9417
7	J	9427
9	J	9427
7	R	9427
7	W	9427
16	R	9427
16	J	9437
15	R	9437
15	J	9447
14	R	9447
8	J	9457
14	J	9457
8	R	9457
8	J	9474
13	R	9474
13	J	9484
12	R	9484
12	J	9494
11	R	9494
11	J	9504
10	R	9504
10	J	9514
9	R	9514
9	J	9524
16	R	9524
7	J	9534
16	J	9534
7	R	9534
7	E	9534
6	J	9534
6	R	9534
6	W	9535
15	R	9535
15	J	9545
14	R	9545
14	J	9555
13	R	9555
13	J	9565
12	R	9565
12	J	9575
11	R	9575
11	J	9585
10	R	9585
10	J	9595
9	R	9595
9	J	9605
8	R	9605
8	J	9615
16	R	9615
16	J	9625
15	R	9625
15	J	9635
14	R	9635
14	J	9645
13	R	9645
13	J	9655
12	R	9655
12	J	9665
11	R	9665
11	J	9675
10	R	9675
10	J	9685
9	R	9685
9	J	9695
8	R	9695
8	J	9705
16	R	9705
16	J	9715
15	R	9715
15	J	9725
14	R	9725
14	J	9735
13	R	9735
13	J	9745
12	R	9745
12	J	9755
11	R	9755
11	J	9765
10	R	9765
10	J	9775
9	R	9775
9	J	9785
8	R	9785
8	J	9795
16	R	9795
16	J	9805
15	R	9805
15	J	9815
14	R	9815
14	J	9825
13	R	9825
13	J	9835
12	R	9835
12	J	9845
